radius  rho      vpv      vsv      qkappa   qshear   vph      vsh      eta
 3631000  5693.40 13649.80  7248.50    722.7    271.7 13649.80  7248.50  1.00000
 3631000  5438.70 13649.80  7248.50    933.2    350.9 13649.80  7248.50  1.00000
 3681000  5417.60 13589.90  7225.30    940.9    354.6 13589.90  7225.30  1.00000
 3731000  5396.20 13531.10  7203.10    952.0    359.7 13531.10  7203.10  1.00000
 3779500  5374.80 13474.10  7180.40    960.4    363.6 13474.10  7180.40  1.00000
 3829000  5353.10 13415.60  7158.40    968.5    367.6 13415.60  7158.40  1.00000
 3878500  5331.30 13358.40  7136.80    976.8    371.8 13358.40  7136.80  1.00000
 3928000  5309.20 13301.70  7114.40    985.6    375.9 13301.70  7114.40  1.00000
 3977500  5287.00 13246.50  7093.20    990.8    378.8 13246.50  7093.20  1.00000
 4027000  5264.60 13189.50  7072.20    999.4    383.1 13189.50  7072.20  1.00000
 4076500  5242.00 13133.70  7050.40   1008.8    387.6 13133.70  7050.40  1.00000
 4126000  5219.20 13078.60  7028.60   1018.4    392.2 13078.60  7028.60  1.00000
 4175500  5196.30 13022.60  7006.90   1032.1    398.4 13022.60  7006.90  1.00000
 4225000  5173.20 12966.30  6985.20   1042.1    403.2 12966.30  6985.20  1.00000
 4274500  5149.90 12909.30  6962.50   1048.1    406.5 12909.30  6962.50  1.00000
 4324000  5126.40 12852.40  6941.60   1058.0    411.5 12852.40  6941.60  1.00000
 4373500  5102.70 12795.60  6919.40   1064.2    414.9 12795.60  6919.40  1.00000
 4423000  5078.90 12738.40  6897.20   1070.4    418.4 12738.40  6897.20  1.00000
 4472500  5054.80 12680.70  6874.30   1086.0    425.5 12680.70  6874.30  1.00000
 4522000  5030.60 12622.60  6851.70   1097.2    431.0 12622.60  6851.70  1.00000
 4571500  5006.20 12563.80  6828.90   1108.6    436.7 12563.80  6828.90  1.00000
 4621000  4981.70 12503.00  6805.60   1120.1    442.5 12503.00  6805.60  1.00000
 4670500  4957.00 12442.70  6782.00   1127.0    446.4 12442.70  6782.00  1.00000
 4720000  4932.10 12381.30  6757.90   1134.0    450.4 12381.30  6757.90  1.00000
 4769500  4906.90 12318.10  6732.30   1141.3    454.6 12318.10  6732.30  1.00000
 4819000  4881.70 12255.80  6707.00   1148.8    458.7 12255.80  6707.00  1.00000
 4868500  4856.20 12191.20  6681.30   1156.0    463.0 12191.20  6681.30  1.00000
 4918000  4830.70 12124.70  6655.40   1163.2    467.3 12124.70  6655.40  1.00000
 4967500  4805.00 12057.10  6628.50   1170.5    471.7 12057.10  6628.50  1.00000
 5017000  4779.00 11989.10  6600.90   1178.2    476.2 11989.10  6600.90  1.00000
 5066500  4752.80 11920.80  6572.80   1186.1    480.8 11920.80  6572.80  1.00000
 5116000  4726.60 11849.10  6543.10   1194.0    485.4 11849.10  6543.10  1.00000
 5165500  4700.10 11776.80  6513.10   1202.0    490.2 11776.80  6513.10  1.00000
 5215000  4673.50 11702.00  6482.20   1210.0    495.1 11702.00  6482.20  1.00000
 5264500  4646.70 11626.50  6451.40   1217.9    500.0 11626.50  6451.40  1.00000
 5314000  4619.80 11549.30  6418.20   1226.5    505.1 11549.30  6418.20  1.00000
 5363500  4592.60 11470.40  6386.00   1234.5    510.2 11470.40  6386.00  1.00000
 5413000  4565.40 11389.70  6351.90   1243.0    515.5 11389.70  6351.90  1.00000
 5462500  4516.20 11306.80  6316.40   1251.7    520.8 11306.80  6316.40  1.00000
 5512000  4465.00 11222.80  6279.90   1260.7    526.3 11222.80  6279.90  1.00000
 5561500  4411.80 11135.50  6242.40   1269.4    531.9 11135.50  6242.40  1.00000
 5611000  4356.50 11055.30  6210.00   1277.9    537.6 11055.30  6210.00  1.00000
 5661000  4298.60 10922.20  6089.80   1311.2    543.5 10922.20  6089.80  1.00000
 5711000  4238.70 10790.90  5960.70   1350.5    549.5 10790.90  5960.70  1.00000
 5711000  3920.10 10200.00  5610.40    428.7    172.9 10200.00  5610.40  1.00000
 5761000  3920.60 10032.00  5504.70    425.5    170.8 10032.00  5504.70  1.00000
 5811000  3921.80  9864.00  5398.90    422.6    168.8  9864.00  5398.90  1.00000
 5861000  3923.30  9696.20  5292.20    419.9    166.8  9696.20  5292.20  1.00000
 5911000  3927.30  9528.00  5186.40    417.3    164.9  9528.00  5186.40  1.00000
 5961000  3931.70  9360.10  5080.60    413.7    162.5  9360.10  5080.60  1.00000
 5961000  3506.80  9030.20  4870.20    377.9    146.6  9030.20  4870.20  1.00000
 6011000  3457.70  8847.60  4783.20    366.3    142.8  8847.60  4783.20  1.00000
 6061000  3411.00  8665.00  4696.40    355.9    139.4  8665.00  4696.40  1.00000
 6111000  3366.30  8482.20  4609.40    346.4    136.4  8482.20  4609.40  1.00000
 6161000  3324.30  8300.70  4518.40    338.5    133.7  8300.70  4518.40  1.00000
 6161000  3324.30  8300.70  4518.40    201.0     79.4  8300.70  4518.40  1.00000
 6171000  3471.94  8139.25  4651.00    200.0     80.0  8139.25  4651.00  1.00000
 6188553  3357.35  7821.01  4469.15    200.0     80.0  7821.01  4469.15  1.00000
 6206107  3273.85  7589.15  4336.66    200.0     80.0  7589.15  4336.66  1.00000
 6223660  3217.79  7433.47  4247.70    200.0     80.0  7433.47  4247.70  1.00000
 6241214  3185.27  7343.15  4196.08    200.0     80.0  7343.15  4196.08  1.00000
 6258767  3172.37  7307.34  4175.62    200.0     80.0  7307.34  4175.62  1.00000
 6276321  3175.20  7315.20  4180.11    200.0     80.0  7315.20  4180.11  1.00000
 6293874  3188.84  7353.08  4201.76    200.0     80.0  7353.08  4201.76  1.00000
 6311428  3204.33  7396.08  4226.33    900.0    400.0  7396.08  4226.33  1.00000
 6328981  3211.68  7416.50  4238.00    900.0    400.0  7416.50  4238.00  1.00000
 6328981  3030.82  6914.25  3951.00    900.0    400.0  6914.25  3951.00  1.00000
 6333630  2954.87  6703.33  3830.48    900.0    400.0  6703.33  3830.48  1.00000
 6338280  2900.22  6551.56  3743.75    900.0    400.0  6551.56  3743.75  1.00000
 6342929  2861.32  6443.53  3682.02    900.0    400.0  6443.53  3682.02  1.00000
 6347578  2832.46  6363.41  3636.24    900.0    400.0  6363.41  3636.24  1.00000
 6352228  2807.96  6295.37  3597.35    900.0    400.0  6295.37  3597.35  1.00000
 6356877  2782.10  6223.55  3556.32    900.0    400.0  6223.55  3556.32  1.00000
 6361526  2749.18  6132.13  3504.08   1400.0    600.0  6132.13  3504.08  1.00000
 6366176  2703.50  6005.27  3431.58   1400.0    600.0  6005.27  3431.58  1.00000
 6370825  2639.48  5827.50  3330.00   1400.0    600.0  5827.50  3330.00  1.00000
 6370825  2301.17  4888.00  2444.00    160.0     80.0  4888.00  2444.00  1.00000
 6371000  1444.13  2508.00  1254.00    160.0     80.0  2508.00  1254.00  1.00000
